node1,node2,importance
CACNA1C,GRIK1,0.0038500337395817037
CACNA1C,GRM3,0.0027900852728635073
CACNA1C,GRIA1,0.001969190314412117
CACNA1C,CHRNA7,0.003869589883834124
CACNA1C,CACNA1G,0.0034830535296350718
CACNA1C,GRM5,0.002330947900190949
CACNA1C,HTR2A,0.003230138448998332
CACNA1C,GRIK4,0.004006510134786367
CACNA1C,GRIA4,0.0027773240581154823
CACNA1C,GRIK5,0.0030570731032639733
CACNA1C,CAMK2D,0.003147895215079189
CACNA1C,HTR2C,0.0033056514803320174
CACNA1C,PLCB4,0.0022342237643897533
GRM8,GRM1,0.003342485288158059
GRM8,DRD1,0.002818696433678269
GRM8,GRIK3,0.004005185794085264
GRM8,GRIK1,0.005791188217699528
GRM8,GRM3,0.0036473094951361405
GRM8,GRIA1,0.002574198413640261
GRM8,CHRNA7,0.005058479961007834
GRM8,GRM5,0.003047107020393014
GRM8,HTR2A,0.004222564399242401
GRM8,GRIK4,0.0052374578081071385
GRM8,GRIA4,0.0036306208930909634
GRM8,GRIK5,0.0039963191375136375
GRM8,CAMK2D,0.004115045070648193
GRM8,HTR2C,0.00432127807289362
GRM8,HOMER3,0.010853574611246586
GRM1,DRD1,0.000283920846413821
GRM1,GRIK3,0.0003850895445793866
GRM1,GRIK1,0.005950730759650469
GRM1,GRM3,0.00035068055149167776
GRM1,GRIA1,0.00024750333977863187
GRM1,CHRNA7,0.0025946586392819877
GRM1,CACNA1G,0.00045097092515788967
GRM1,GRM5,0.00029297135188244283
GRM1,HTR2A,0.0004059892380610109
GRM1,GRIK4,0.0005906987353228033
GRM1,GRIA4,0.00042611567187123
GRM1,GRIK5,0.0009212660370394588
GRM1,CAMK2D,0.0003956522850785405
GRM1,HTR2C,0.0004321207234170288
GRM1,PLCB4,0.0003190941351931542
GRM1,HOMER3,0.0010435465956106784
DRD1,GRIK3,0.0003402126021683216
DRD1,GRIK1,0.005018203053623438
DRD1,GRM3,0.00030981350573711086
DRD1,GRIA1,0.00021866019233129919
DRD1,CHRNA7,0.0021880632266402245
DRD1,CACNA1G,0.0003867613268084824
DRD1,GRM5,0.0002588304923847317
DRD1,HTR2A,0.00035867738188244397
DRD1,GRIK4,0.0004981333622708917
DRD1,GRIA4,0.0003593399014789611
DRD1,GRIK5,0.0007768991636112332
DRD1,CAMK2D,0.00034954436705447733
DRD1,HTR2C,0.0003670624282676727
DRD1,PLCB4,0.00026909002917818725
GRIK3,GRIK1,0.007130543701350689
GRIK3,GRM3,0.00027390322065912187
GRIK3,GRIA1,0.00023193492961581802
GRIK3,CHRNA7,0.003109084675088525
GRIK3,CACNA1G,0.0005403830436989665
GRIK3,GRM5,0.00023132348724175245
GRIK3,HTR2A,0.00043763057328760624
GRIK3,GRIK4,0.0007078127237036824
GRIK3,GRIA4,0.0005105988238938153
GRIK3,GRIK5,0.0011039194650948048
GRIK3,CAMK2D,0.0003090295067522675
GRIK3,HTR2C,0.0005177934654057026
GRIK3,HOMER3,0.0008150776266120374
GRIK1,GRM3,0.006493405904620886
GRIK1,GRIA1,0.004582934081554414
GRIK1,CHRNA7,0.009005752392113209
GRIK1,CACNA1G,0.008106193505227566
GRIK1,GRM5,0.005424849223345518
GRIK1,HTR2A,0.00751754827797413
GRIK1,GRIK4,0.00932439137250185
GRIK1,GRIA4,0.00646370742470026
GRIK1,GRIK5,0.007114757783710957
GRIK1,CAMK2D,0.007326128892600536
GRIK1,HTR2C,0.007693291176110506
GRIK1,HOMER3,0.01932299323379993
GRM3,GRIA1,0.00021121079043950888
GRM3,CHRNA7,0.002831277903169393
GRM3,GRM5,0.00021065397595521065
GRM3,HTR2A,0.0003985268413089216
GRM3,GRIK4,0.0006445673643611373
